"Id";"Type | Code | Code";"Type | Obverse design | Obverse design | Description";"Type | Reverse design | Reverse design | Description";"Collection | Name";"Collection | Surname";"Collection | Name";"Inventory number";"Weight";"Diameter max.";"Findspot | Name"
"5107";"Karlstein";"Hump, smooth or with slight irregularities.";"Horse to l., body of two spheres, legs and tail of dotted lines.";"";"";"Stadtmuseum Bad Reichenhall";"00059";"0.3";"";"Karlstein (Bad Reichenhall)"
"5108";"Karlstein";"Hump, smooth or with slight irregularities.";"Horse to l., body of two spheres, legs and tail of dotted lines.";"";"";"Stadtmuseum Bad Reichenhall";"00060";"0.3";"";"Karlstein (Bad Reichenhall)"
"5109";"Karlstein";"Hump, smooth or with slight irregularities.";"Horse to l., body of two spheres, legs and tail of dotted lines.";"";"";"Stadtmuseum Bad Reichenhall";"00061";"0.3";"";"Karlstein (Bad Reichenhall)"
"5110";"Karlstein";"Hump, smooth or with slight irregularities.";"Horse to l., body of two spheres, legs and tail of dotted lines.";"";"";"Stadtmuseum Bad Reichenhall";"00062";"0.3";"";"Karlstein (Bad Reichenhall)"
"5111";"Manching 2";"Head to l. with parted cap of hair.";"Horse to l. above dots, below angled point.";"";"";"Archäologische Staatssammlung München";"K0034";"0.32";"9.7";"Manching"
"5112";"Small silver uncertain type";"";"";"";"";"Archäologische Staatssammlung München";"K0040";"0.38";"10.5";"Manching"
"5113";"Small silver uncertain type";"";"";"";"";"Archäologische Staatssammlung München";"K0072";"0.38";"9";"Manching"
"5114";"Kreuzmünze Kopf nach l.";"Head to l. with blunt nose, headband, hair of dots.";"Cross, in the angles V, curl, V and curl with two side points.";"";"";"Archäologische Staatssammlung München";"K0073";"0.44";"9.2";"Manching"
"5115";"Manching 2";"Head to l. with parted cap of hair.";"Horse to l. above dots, below angled point.";"";"";"Archäologische Staatssammlung München";"K0074";"0.39";"10.9";"Manching"
"5116";"Stachelhaar a";"Head to l., a few spiky strands of hair with end points.";"Horse to l., above five dots.";"";"";"Archäologische Staatssammlung München";"K0075";"0.35";"9.5";"Manching"
"5117";"Manching 2";"Head to l. with parted cap of hair.";"Horse to l. above dots, below angled point.";"";"";"Archäologische Staatssammlung München";"K0078";"0.34";"9.8";"Manching"
