"Id";"Type | Code | Code";"Type | Obverse design | Obverse design | Description";"Type | Reverse design | Reverse design | Description";"Collection | Name";"Collection | Surname";"Collection | Name";"Inventory number";"Weight";"Diameter max.";"Findspot | Name"
"5924";"Manching 2";"Head to l. with parted cap of hair.";"Horse to l. above dots, below angled point.";"";"";"";"A.256";"";"";"Linz-Neubau"
"5925";"Manching 1";"Head to l. with semicircular raised hair cap, outside dotted arch.";"Horse to l. above dots, below angled point.";"";"";"";"A.257";"";"";"Linz-Neubau"
"5925";"Manching 2";"Head to l. with parted cap of hair.";"Horse to l. above dots, below angled point.";"";"";"";"A.257";"";"";"Linz-Neubau"
"5926";"Manching 1";"Head to l. with semicircular raised hair cap, outside dotted arch.";"Horse to l. above dots, below angled point.";"";"";"";"A.258";"";"";"Linz-Neubau"
"5926";"Manching 2";"Head to l. with parted cap of hair.";"Horse to l. above dots, below angled point.";"";"";"";"A.258";"";"";"Linz-Neubau"
"5927";"Manching 1";"Head to l. with semicircular raised hair cap, outside dotted arch.";"Horse to l. above dots, below angled point.";"";"";"";"A.259";"";"";"Linz-Neubau"
"5927";"Manching 2";"Head to l. with parted cap of hair.";"Horse to l. above dots, below angled point.";"";"";"";"A.259";"";"";"Linz-Neubau"
"5928";"Manching 1";"Head to l. with semicircular raised hair cap, outside dotted arch.";"Horse to l. above dots, below angled point.";"";"";"";"A.260";"";"";"Linz-Neubau"
"5928";"Manching 2";"Head to l. with parted cap of hair.";"Horse to l. above dots, below angled point.";"";"";"";"A.260";"";"";"Linz-Neubau"
"5929";"Manching 2 var. Haare gewellt";"Head l. wavy Hair.";"Horse l. above dots, below angled point with A.";"";"";"";"A.261";"";"";"Linz-Neubau"
"5930";"Manching 2 var. Haare gewellt";"Head l. wavy Hair.";"Horse l. above dots, below angled point with A.";"";"";"";"A.262";"";"";"Linz-Neubau"
"5931";"Prokisch Manching ähnlich";"Head to left, wavy hair.";"Horse to left, above five dots.";"";"";"";"A.263";"";"";"Linz-Neubau"
"5932";"Prokisch Manching ähnlich";"Head to left, wavy hair.";"Horse to left, above five dots.";"";"";"";"A.264";"";"";"Linz-Neubau"
"5933";"Prokisch Manching ähnlich";"Head to left, wavy hair.";"Horse to left, above five dots.";"";"";"";"A.265";"";"";"Linz-Neubau"
"5934";"Prokisch Manching ähnlich";"Head to left, wavy hair.";"Horse to left, above five dots.";"";"";"";"A.266";"";"";"Linz-Neubau"
"5935";"Prokisch Manching ähnlich";"Head to left, wavy hair.";"Horse to left, above five dots.";"";"";"";"A.267";"";"";"Linz-Neubau"
"5936";"Prokisch Manching ähnlich";"Head to left, wavy hair.";"Horse to left, above five dots.";"";"";"";"A.268";"";"";"Linz-Neubau"
"5937";"Prokisch Manching ähnlich";"Head to left, wavy hair.";"Horse to left, above five dots.";"";"";"";"A.269";"";"";"Linz-Neubau"
"5938";"Prokisch Manching ähnlich";"Head to left, wavy hair.";"Horse to left, above five dots.";"";"";"";"A.270";"";"";"Linz-Neubau"
"5939";"Stachelhaar a";"Head to l., a few spiky strands of hair with end points.";"Horse to l., above five dots.";"";"";"";"A.271";"";"";"Linz-Neubau"
"5940";"Stachelhaar a";"Head to l., a few spiky strands of hair with end points.";"Horse to l., above five dots.";"";"";"";"A.272";"";"";"Linz-Neubau"
"5941";"Stachelhaar a";"Head to l., a few spiky strands of hair with end points.";"Horse to l., above five dots.";"";"";"";"A.273";"";"";"Linz-Neubau"
"5942";"Stachelhaar a";"Head to l., a few spiky strands of hair with end points.";"Horse to l., above five dots.";"";"";"";"A.274";"";"";"Linz-Neubau"
"5942";"Prokisch Manching ähnlich";"Head to left, wavy hair.";"Horse to left, above five dots.";"";"";"";"A.274";"";"";"Linz-Neubau"
"5943";"Prokisch Manching ähnlich";"Head to left, wavy hair.";"Horse to left, above five dots.";"";"";"";"A.275";"";"";"Linz-Neubau"
"5944";"Stachelhaar a";"Head to l., a few spiky strands of hair with end points.";"Horse to l., above five dots.";"";"";"";"A.276";"";"";"Linz-Neubau"
"5945";"Stachelhaar a";"Head to l., a few spiky strands of hair with end points.";"Horse to l., above five dots.";"";"";"";"A.277";"";"";"Linz-Neubau"
"5946";"Stachelhaar a";"Head to l., a few spiky strands of hair with end points.";"Horse to l., above five dots.";"";"";"";"A.278";"";"";"Linz-Neubau"
"5947";"Stachelhaar a";"Head to l., a few spiky strands of hair with end points.";"Horse to l., above five dots.";"";"";"";"A.279";"";"";"Linz-Neubau"
"5948";"Stachelhaar a";"Head to l., a few spiky strands of hair with end points.";"Horse to l., above five dots.";"";"";"";"A.280";"";"";"Linz-Neubau"
"5949";"Stachelhaar a";"Head to l., a few spiky strands of hair with end points.";"Horse to l., above five dots.";"";"";"";"A.281";"";"";"Linz-Neubau"
"5950";"Stachelhaar a";"Head to l., a few spiky strands of hair with end points.";"Horse to l., above five dots.";"";"";"";"A.282";"";"";"Linz-Neubau"
"5951";"Stachelhaar a";"Head to l., a few spiky strands of hair with end points.";"Horse to l., above five dots.";"";"";"";"A.283";"";"";"Linz-Neubau"
"5952";"Stachelhaar a";"Head to l., a few spiky strands of hair with end points.";"Horse to l., above five dots.";"";"";"";"A.284";"";"";"Linz-Neubau"
"5953";"Stachelhaar a";"Head to l., a few spiky strands of hair with end points.";"Horse to l., above five dots.";"";"";"";"A.285";"";"";"Linz-Neubau"
"5954";"Stachelhaar a";"Head to l., a few spiky strands of hair with end points.";"Horse to l., above five dots.";"";"";"";"A.286";"";"";"Linz-Neubau"
"5955";"Stachelhaar a";"Head to l., a few spiky strands of hair with end points.";"Horse to l., above five dots.";"";"";"";"A.287";"";"";"Linz-Neubau"
"5956";"Stachelhaar a";"Head to l., a few spiky strands of hair with end points.";"Horse to l., above five dots.";"";"";"";"A.288";"";"";"Linz-Neubau"
"5957";"Stachelhaar a";"Head to l., a few spiky strands of hair with end points.";"Horse to l., above five dots.";"";"";"";"A.289";"";"";"Linz-Neubau"
"5958";"Stachelhaar a";"Head to l., a few spiky strands of hair with end points.";"Horse to l., above five dots.";"";"";"";"A.290";"";"";"Linz-Neubau"
"5959";"Small silver uncertain type";"";"";"";"";"";"A.291";"";"";"Linz-Neubau"
"5960";"Prokisch Manching ähnlich";"Head to left, wavy hair.";"Horse to left, above five dots.";"";"";"";"A.292";"";"";"Linz-Neubau"
"5961";"Small silver uncertain type";"";"";"";"";"";"A.293";"";"";"Linz-Neubau"
"5976";"Boisches Kleinsilber";"Head to l.";"Horse to l.";"";"";"";"A.308";"";"";"Linz-Neubau"
"5977";"Boisches Kleinsilber";"Head to l.";"Horse to l.";"";"";"";"A.309";"";"";"Linz-Neubau"
"5978";"Boisches Kleinsilber";"Head to l.";"Horse to l.";"";"";"";"A.310";"";"";"Linz-Neubau"
"5979";"Boisches Kleinsilber";"Head to l.";"Horse to l.";"";"";"";"A.311";"";"";"Linz-Neubau"
"5980";"Boisches Kleinsilber";"Head to l.";"Horse to l.";"";"";"";"A.312";"";"";"Linz-Neubau"
"5981";"Roseldorf II";"Horse to l.";"Horse to l., below a torques, inside a globe.";"";"";"";"A.313";"";"";"Linz-Neubau"
"5982";"Roseldorf II";"Horse to l.";"Horse to l., below a torques, inside a globe.";"";"";"";"A.314";"";"";"Linz-Neubau"
"5983";"Roseldorf II";"Horse to l.";"Horse to l., below a torques, inside a globe.";"";"";"";"A.315";"";"";"Linz-Neubau"
"5984";"Roseldorf II";"Horse to l.";"Horse to l., below a torques, inside a globe.";"";"";"";"A.316";"";"";"Linz-Neubau"
"5985";"Roseldorf II";"Horse to l.";"Horse to l., below a torques, inside a globe.";"";"";"";"A.317";"";"";"Linz-Neubau"
"5986";"Roseldorf II";"Horse to l.";"Horse to l., below a torques, inside a globe.";"";"";"";"A.318";"";"";"Linz-Neubau"
"5993";"Manching 1";"Head to l. with semicircular raised hair cap, outside dotted arch.";"Horse to l. above dots, below angled point.";"";"";"";"A.326";"";"";"Linz-Neubau"
"5994";"Manching 1";"Head to l. with semicircular raised hair cap, outside dotted arch.";"Horse to l. above dots, below angled point.";"";"";"";"A.327";"";"";"Linz-Neubau"
"5995";"Manching 1";"Head to l. with semicircular raised hair cap, outside dotted arch.";"Horse to l. above dots, below angled point.";"";"";"";"A.328";"";"";"Linz-Neubau"
"5996";"Manching 2";"Head to l. with parted cap of hair.";"Horse to l. above dots, below angled point.";"";"";"";"A.329";"";"";"Linz-Neubau"
"5997";"Manching 2";"Head to l. with parted cap of hair.";"Horse to l. above dots, below angled point.";"";"";"";"A.330";"";"";"Linz-Neubau"
"5998";"Manching 2";"Head to l. with parted cap of hair.";"Horse to l. above dots, below angled point.";"";"";"";"A.331";"";"";"Linz-Neubau"
"5999";"Manching 2";"Head to l. with parted cap of hair.";"Horse to l. above dots, below angled point.";"";"";"";"A.332";"";"";"Linz-Neubau"
"6000";"Manching 2";"Head to l. with parted cap of hair.";"Horse to l. above dots, below angled point.";"";"";"";"A.333";"";"";"Linz-Neubau"
"6001";"Manching 2";"Head to l. with parted cap of hair.";"Horse to l. above dots, below angled point.";"";"";"";"A.334";"";"";"Linz-Neubau"
"6002";"Manching 2";"Head to l. with parted cap of hair.";"Horse to l. above dots, below angled point.";"";"";"";"A.335";"";"";"Linz-Neubau"
"6003";"Manching 2";"Head to l. with parted cap of hair.";"Horse to l. above dots, below angled point.";"";"";"";"A.336";"";"";"Linz-Neubau"
"6004";"Manching 2";"Head to l. with parted cap of hair.";"Horse to l. above dots, below angled point.";"";"";"";"A.337";"";"";"Linz-Neubau"
"6005";"Manching 2";"Head to l. with parted cap of hair.";"Horse to l. above dots, below angled point.";"";"";"";"A.338";"";"";"Linz-Neubau"
"6006";"Manching 2";"Head to l. with parted cap of hair.";"Horse to l. above dots, below angled point.";"";"";"";"A.339";"";"";"Linz-Neubau"
"6007";"Manching 2";"Head to l. with parted cap of hair.";"Horse to l. above dots, below angled point.";"";"";"";"A.340";"";"";"Linz-Neubau"
"6008";"Manching 2";"Head to l. with parted cap of hair.";"Horse to l. above dots, below angled point.";"";"";"";"A.341";"";"";"Linz-Neubau"
"6009";"Prokisch Manching ähnlich";"Head to left, wavy hair.";"Horse to left, above five dots.";"";"";"";"A.342";"";"";"Linz-Neubau"
"6010";"Prokisch Manching ähnlich";"Head to left, wavy hair.";"Horse to left, above five dots.";"";"";"";"A.343";"";"";"Linz-Neubau"
"6011";"Prokisch Manching ähnlich";"Head to left, wavy hair.";"Horse to left, above five dots.";"";"";"";"A.344";"";"";"Linz-Neubau"
"6012";"Stachelhaar a";"Head to l., a few spiky strands of hair with end points.";"Horse to l., above five dots.";"";"";"";"A.345";"";"";"Linz-Neubau"
"6013";"Stachelhaar a";"Head to l., a few spiky strands of hair with end points.";"Horse to l., above five dots.";"";"";"";"A.346";"";"";"Linz-Neubau"
"6014";"Stachelhaar a";"Head to l., a few spiky strands of hair with end points.";"Horse to l., above five dots.";"";"";"";"A.347";"";"";"Linz-Neubau"
"6015";"Stachelhaar a";"Head to l., a few spiky strands of hair with end points.";"Horse to l., above five dots.";"";"";"";"A.348";"";"";"Linz-Neubau"
"6016";"Small silver uncertain type";"";"";"";"";"";"A.349";"";"";"Linz-Neubau"
"6017";"Stachelhaar a";"Head to l., a few spiky strands of hair with end points.";"Horse to l., above five dots.";"";"";"";"A.350";"";"";"Linz-Neubau"
"6018";"Stachelhaar a";"Head to l., a few spiky strands of hair with end points.";"Horse to l., above five dots.";"";"";"";"A.351";"";"";"Linz-Neubau"
"6019";"Stachelhaar a";"Head to l., a few spiky strands of hair with end points.";"Horse to l., above five dots.";"";"";"";"A.352";"";"";"Linz-Neubau"
"6020";"Stachelhaar a";"Head to l., a few spiky strands of hair with end points.";"Horse to l., above five dots.";"";"";"";"A.353";"";"";"Linz-Neubau"
"6021";"Stachelhaar a";"Head to l., a few spiky strands of hair with end points.";"Horse to l., above five dots.";"";"";"";"A.354";"";"";"Linz-Neubau"
"6022";"Stachelhaar a";"Head to l., a few spiky strands of hair with end points.";"Horse to l., above five dots.";"";"";"";"A.355";"";"";"Linz-Neubau"
"6023";"Stachelhaar a";"Head to l., a few spiky strands of hair with end points.";"Horse to l., above five dots.";"";"";"";"A.356";"";"";"Linz-Neubau"
"6541";"Manching 2";"Head to l. with parted cap of hair.";"Horse to l. above dots, below angled point.";"";"";"Archäologische Bodenforschung des Kantons Basel-Land";"24.71.606";"0.32";"11";"Füllinsdorf"
"6542";"Manching 2";"Head to l. with parted cap of hair.";"Horse to l. above dots, below angled point.";"";"";"Archäologische Bodenforschung des Kantons Basel-Land";"24.71.282";"0.45";"10.8";"Füllinsdorf"
"6543";"Manching 1";"Head to l. with semicircular raised hair cap, outside dotted arch.";"Horse to l. above dots, below angled point.";"";"";"Archäologische Bodenforschung des Kantons Basel-Land";"24.71.541";"0.4";"10.4";"Füllinsdorf"
"6544";"Manching 2";"Head to l. with parted cap of hair.";"Horse to l. above dots, below angled point.";"";"";"Archäologische Bodenforschung des Kantons Basel-Land";"24.71.536";"0.4";"10";"Füllinsdorf"
"6545";"Manching 2";"Head to l. with parted cap of hair.";"Horse to l. above dots, below angled point.";"";"";"Archäologische Bodenforschung des Kantons Basel-Land";"24.71.537";"0.37";"9.3";"Füllinsdorf"
"6546";"Manching 1";"Head to l. with semicircular raised hair cap, outside dotted arch.";"Horse to l. above dots, below angled point.";"";"";"Archäologische Bodenforschung des Kantons Basel-Land";"24.71.542";"0.36";"10.4";"Füllinsdorf"
"6547";"Manching 2";"Head to l. with parted cap of hair.";"Horse to l. above dots, below angled point.";"";"";"Archäologische Bodenforschung des Kantons Basel-Land";"24.71.561";"0.44";"9.3";"Füllinsdorf"
"6548";"Manching 2";"Head to l. with parted cap of hair.";"Horse to l. above dots, below angled point.";"";"";"Archäologische Bodenforschung des Kantons Basel-Land";"24.71.409";"0.43";"10.2";"Füllinsdorf"
"6549";"Manching 2";"Head to l. with parted cap of hair.";"Horse to l. above dots, below angled point.";"";"";"Archäologische Bodenforschung des Kantons Basel-Land";"24.71.540";"0.34";"13.5";"Füllinsdorf"
"6550";"Manching imitation";"Dissolved head to l. with hair that has bullet tips.";"Horse to l., pellets above, angle below, or no markings visible under the horse.";"";"";"Archäologische Bodenforschung des Kantons Basel-Land";"24.71.543";"0.24";"9.2";"Füllinsdorf"
"6551";"Manching imitation";"Dissolved head to l. with hair that has bullet tips.";"Horse to l., pellets above, angle below, or no markings visible under the horse.";"";"";"Archäologische Bodenforschung des Kantons Basel-Land";"24.71.280";"0.27";"8.8";"Füllinsdorf"
"6552";"Manching imitation";"Dissolved head to l. with hair that has bullet tips.";"Horse to l., pellets above, angle below, or no markings visible under the horse.";"";"";"Archäologische Bodenforschung des Kantons Basel-Land";"24.71.277";"0.25";"8.7";"Füllinsdorf"
"6553";"Manching 1";"Head to l. with semicircular raised hair cap, outside dotted arch.";"Horse to l. above dots, below angled point.";"";"";"";"";"0.42";"10.5";"Stradonice Oppidum"
"6554";"Manching 2";"Head to l. with parted cap of hair.";"Horse to l. above dots, below angled point.";"";"";"";"";"0.37";"10";"Stradonice Oppidum"
"6555";"Manching 2";"Head to l. with parted cap of hair.";"Horse to l. above dots, below angled point.";"";"";"";"";"0.39";"10.5";"Stradonice Oppidum"
"6556";"Manching 1";"Head to l. with semicircular raised hair cap, outside dotted arch.";"Horse to l. above dots, below angled point.";"";"";"";"";"";"";"Stradonice Oppidum"
"6557";"Manching 2";"Head to l. with parted cap of hair.";"Horse to l. above dots, below angled point.";"";"";"Národní muzeum Praha";"H1-27315";"0.44";"9.2";"Stradonice Oppidum"
"6558";"Manching 2";"Head to l. with parted cap of hair.";"Horse to l. above dots, below angled point.";"";"";"";"";"0.32";"10.2";"Stradonice Oppidum"
"6559";"Manching 2";"Head to l. with parted cap of hair.";"Horse to l. above dots, below angled point.";"";"";"";"";"0.37";"10.3";"Stradonice Oppidum"
"6560";"Manching 2";"Head to l. with parted cap of hair.";"Horse to l. above dots, below angled point.";"";"";"";"";"0.64";"10.7";"Stradonice Oppidum"
"6561";"Manching 2 var.";"Head to l. dissolved into lines.";"Horse to l. above dots, below angled point.";"";"";"Národní muzeum Praha";"H1-235793";"0.43";"10.1";"Stradonice Oppidum"
"6562";"Manching 2 var.";"Head to l. dissolved into lines.";"Horse to l. above dots, below angled point.";"";"";"";"";"0.34";"10";"Stradonice Oppidum"
"6563";"Manching 2";"Head to l. with parted cap of hair.";"Horse to l. above dots, below angled point.";"";"";"Národní muzeum Praha";"H1-235883";"0.15";"";"Stradonice Oppidum"
"6564";"Manching 2";"Head to l. with parted cap of hair.";"Horse to l. above dots, below angled point.";"";"";"";"";"0.38";"8";"Stradonice Oppidum"
"6565";"Manching 2";"Head to l. with parted cap of hair.";"Horse to l. above dots, below angled point.";"";"";"Národní muzeum Praha";" H1-235561";"0.26";"9.4";"Stradonice Oppidum"
"6566";"Manching 2 var.";"Head to l. dissolved into lines.";"Horse to l. above dots, below angled point.";"";"";"";"";"0.43";"10.5";"Stradonice Oppidum"
"6567";"Manching 1";"Head to l. with semicircular raised hair cap, outside dotted arch.";"Horse to l. above dots, below angled point.";"";"";"Národní muzeum Praha";"H1-236396";"0.26";"7.4";"Stradonice Oppidum"
"6567";"Manching 2";"Head to l. with parted cap of hair.";"Horse to l. above dots, below angled point.";"";"";"Národní muzeum Praha";"H1-236396";"0.26";"7.4";"Stradonice Oppidum"
"6593";"Stachelhaar a";"Head to l., a few spiky strands of hair with end points.";"Horse to l., above five dots.";"";"";"";"";"0.33";"8.8";"Stradonice Oppidum"
"6594";"Stachelhaar a";"Head to l., a few spiky strands of hair with end points.";"Horse to l., above five dots.";"";"";"";"";"0.38";"10.2";"Stradonice Oppidum"
"6595";"Stachelhaar a";"Head to l., a few spiky strands of hair with end points.";"Horse to l., above five dots.";"";"";"";"";"0.18";"";"Stradonice Oppidum"
"6596";"KS 1/8/1 Horse with backward facing head";"";"";"";"";"";"";"0.3";"8.4";"Stradonice Oppidum"
"6597";"Manching 2 var.";"Head to l. dissolved into lines.";"Horse to l. above dots, below angled point.";"";"";"";"";"0.48";"8.8";"Stradonice Oppidum"
"6598";"Manching 2 var.";"Head to l. dissolved into lines.";"Horse to l. above dots, below angled point.";"";"";"Národní muzeum Praha";"H1-235666";"0.47";"9.8";"Stradonice Oppidum"
"6599";"Manching 2 var.";"Head to l. dissolved into lines.";"Horse to l. above dots, below angled point.";"";"";"";"";"0.42";"8.4";"Stradonice Oppidum"
"6600";"Manching 2 var.";"Head to l. dissolved into lines.";"Horse to l. above dots, below angled point.";"";"";"";"";"0.37";"8";"Stradonice Oppidum"
"6601";"Manching 2 var.";"Head to l. dissolved into lines.";"Horse to l. above dots, below angled point.";"";"";"";"";"0.39";"8.3";"Stradonice Oppidum"
"6602";"Manching 2 var.";"Head to l. dissolved into lines.";"Horse to l. above dots, below angled point.";"";"";"";"";"0.32";"8.7";"Stradonice Oppidum"
"6603";"Roseldorf III";"Head to l.";"Horse-like creature to l., with horns and tusks.";"";"";"";"";"0.41";"9.6";"Stradonice Oppidum"
"6604";"Roseldorf III";"Head to l.";"Horse-like creature to l., with horns and tusks.";"";"";"";"";"0.26";"8.5";"Stradonice Oppidum"
"6605";"Roseldorf III";"Head to l.";"Horse-like creature to l., with horns and tusks.";"";"";"";"";"0.4";"9.7";"Stradonice Oppidum"
"6606";"Roseldorf III";"Head to l.";"Horse-like creature to l., with horns and tusks.";"";"";"";"";"0.27";"7.9";"Stradonice Oppidum"
